,Unnamed: 0,calories,calfromfat,fat,satfat,transfat,cho,sodium,charbo,dietfac,sugar,protein,brand
14914,Red Chicken and Black Beans for Tijuana Burrito,303,154,17g,3g,0g,40mg,418mg,16g,4g,4g,20g,Tijuana Flats
14915,Red Chicken and Refried Beans for Tijuana Burrito,298,152,17g,3g,0g,40mg,304mg,16g,6g,2g,20g,Tijuana Flats
14916,Red Chicken for Tijuana Burrito,311,182,20g,3g,0g,81mg,262mg,1g,0g,0g,30g,Tijuana Flats
14917,Refried Beans for Tijuana Burrito,285,122,14g,2g,0g,0mg,345mg,32g,12g,3g,11g,Tijuana Flats
14918,Sour Cream for Tijuana Burrito,40,30,3g,2g,0g,13mg,10mg,1g,0g,1g,1g,Tijuana Flats
14919,Steak for Tijuana Burrito,193,109,12g,4g,0g,63mg,459mg,1g,0g,0g,18g,Tijuana Flats
14920,Whole Wheat Tortilla for Tijuana Burrito,300,90,10g,2g,0g,0mg,800mg,42g,6g,3g,10g,Tijuana Flats
14921,Black Beans for Tijuana Chimichanga,295,126,14g,2g,0g,0mg,574mg,31g,8g,8g,11g,Tijuana Flats
14922,Blackened Chicken and Black Beans for Tijuana Chimichanga,201,76,8g,1g,0g,21mg,605mg,16g,4g,4g,14g,Tijuana Flats
14923,Blackened Chicken and Refried Beans for Tijuana Chimichanga,197,74,8g,1g,0g,21mg,491mg,17g,6g,2g,14g,Tijuana Flats
14924,Blackened Chicken for Tijuana Chimichanga,108,27,3g,1g,0g,43mg,636mg,2g,1g,0g,17g,Tijuana Flats
14925,Carnitas for Tijuana Chimichanga,152,68,8g,3g,0g,67mg,209mg,0g,0g,0g,21g,Tijuana Flats
14926,Cheddar Jack for Tijuana Chimichanga,135,100,11g,7g,0g,33mg,230mg,1g,0g,0g,8g,Tijuana Flats
14927,Chipotle Red Sauce for Tijuana Chimichanga,178,173,19g,3g,0g,9mg,83mg,1g,0g,0g,1g,Tijuana Flats
14928,Diced Onions for Tijuana Chimichanga,15,0,0g,0g,0g,0mg,1mg,3g,0g,1g,0g,Tijuana Flats
14929,Diced Tomatoes for Tijuana Chimichanga,8,1,0g,0g,0g,0mg,2mg,2g,0g,1g,0g,Tijuana Flats
14930,Flour Tortilla for Tijuana Chimichanga,376,116,13g,2g,0g,0mg,880mg,54g,3g,4g,11g,Tijuana Flats
14931,Green Onions for Tijuana Chimichanga,1,0,0g,0g,0g,0mg,1mg,0g,0g,0g,0g,Tijuana Flats
14932,Ground Beef and Black Beans for Tijuana Chimichanga,316,161,18g,5g,0g,55mg,408mg,16g,4g,4g,21g,Tijuana Flats
14933,Ground Beef and Refried Beans for Tijuana Chimichanga,311,159,18g,5g,0g,55mg,293mg,16g,6g,2g,21g,Tijuana Flats
14934,Ground Beef for Tijuana Chimichanga,337,196,22g,8g,0g,111mg,242mg,1g,0g,0g,31g,Tijuana Flats
14935,Jalapenos for Tijuana Chimichanga,2,0,0g,0g,0g,0mg,0mg,0g,0g,0g,0g,Tijuana Flats
14936,Lettuce for Tijuana Chimichanga,9,1,0g,0g,0g,0mg,6mg,2g,1g,1g,1g,Tijuana Flats
14937,Powerlite Cheese for Tijuana Chimichanga,97,61,7g,4g,0g,18mg,179mg,0g,0g,0g,9g,Tijuana Flats
14938,Powerlite Sour Cream for Tijuana Chimichanga,28,16,2g,1g,0g,7mg,18mg,2g,0g,1g,1g,Tijuana Flats
14939,Red Chicken and Black Beans for Tijuana Chimichanga,303,154,17g,3g,0g,40mg,418mg,16g,4g,4g,20g,Tijuana Flats
14940,Red Chicken and Refried Beans for Tijuana Chimichanga,298,152,17g,3g, 0g,40mg,304mg,16g,6g,2g,20g,Tijuana Flats
14941,Red Chicken for Tijuana Chimichanga,311,182,20g,3g,0g,81mg,262mg,1g,0g,0g,30g,Tijuana Flats
14942,Refried Beans for Tijuana Chimichanga,285,122,14g,2g,0g,0mg,345mg,32g,12g,3g,11g,Tijuana Flats
14943,Sour Cream for Tijuana Chimichanga,40,30,3g,2g,0g,13mg,10mg,1g,0g,1g,1g,Tijuana Flats
14944,Steak for Tijuana Chimichanga,193,109,12g,4g,0g,63mg,459mg,1g,0g,0g,18g,Tijuana Flats
14945,Whole Wheat Tortilla for Tijuana Chimichanga,326,116,13g,2g,0g,0mg,800mg,42g,6g,3g,10g,Tijuana Flats
14946,Black Beans for Tostada,295,126,14g,2g,0g,0mg,574mg ,31g,8g,8g,11g,Tijuana Flats
14947,Blackened Chicken and Black Beans for Tostada,201,76,8g,1g,0g,21mg,605mg,16g,4g,4g,14g,Tijuana Flats
14948,Blackened Chicken and Refried Beans for Tostada,197,74,8g,1g,0g,21mg,491mg,17g,6g,2g,14g,Tijuana Flats
14949,Blackened Chicken for Tostada,108,27,3g,1g,0g,43mg,636mg,2g,1g,0g,17g,Tijuana Flats
14950,Carnitas for Tostada,152,68,8g,3g,0g,67mg,209mg,0g,0g,0g,21g,Tijuana Flats
14951,Cheddar Jack for Tostada,135,100,11g,7g,0g,33mg,230mg,1g,0g,0g,8g,Tijuana Flats
14952,Diced Onions for Tostada,15,0,0g,0g,0g,0mg,1mg,3g,0g,1g,0g,Tijuana Flats
14953,Diced Tomatoes for Tostada,8,1,0g,0g,0g,0mg,2mg,2g,0g,1g,0g,Tijuana Flats
14954,Green Onions for Tostada,1,0,0g,0g,0g,0mg,1mg,0g,0g,0g,0g,Tijuana Flats
14955,Ground Beef and Black Beans for Tostada,316,161,18g,5g,0g,55mg,408mg,16g,4g,4g,21g,Tijuana Flats
14956,Ground Beef and Refried Beans for Tostada,311,159,18g,5g,0g,55mg,293mg,16g,6g,2g,21g,Tijuana Flats
14957,Ground Beef for Tostada,337,196,22g,8g,0g,111mg,242mg,1g,0g,0g,31g,Tijuana Flats
14958,Jalapenos for Tostada,4,1,0g,0g,0g,0mg,0mg,1g,0g,0g,0g,Tijuana Flats
14959,Lettuce for Tostada,9,1,0g,0g,0g,0mg,6mg,2g,1g,1g,1g,Tijuana Flats
14960,Powerlite Cheese for Tostada,97,61,7g,4g,0g,18mg,179mg,0g,0g,0g,9g,Tijuana Flats
14961,Powerlite Sour Cream for Tostada,80,45,5g,3g,0g,20mg,50mg,6g,0g,2g,2g,Tijuana Flats
14962,Red Chicken and Black Beans for Tostada,303,154,17g,3g,0g,40mg,418mg,16g,4g,4g,20g,Tijuana Flats
14963,Red Chicken and Refried Beans for Tostada,298,152,17g,3g,0g,40mg,304mg,16g,6g,2g,20g,Tijuana Flats
14964,Red Chicken for Tostada,311,182,20g,3g,0g,81mg,262mg,1g,0g,0g,30g,Tijuana Flats
14965,Refried Beans for Tostada,285,122,14g,2g,0g,0mg,345mg,32g,12g,3g,11g,Tijuana Flats
14966,Salsa for Tostada,20,1,0g,0g,0g,0mg,116mg,4g,1g,2g,1g,Tijuana Flats
14967,Sour Cream for Tostada,120,90,10g,7g,0g,40mg,30mg,2g,0g,2g,2g,Tijuana Flats
14968,Steak for Tostada,193,109,12g,4g,0g,63mg,459mg,1g,0g,0g,18g,Tijuana Flats
14969,Tostada Shells with Black Beans,307,81,9g,1g,0g,0mg,487mg,54g,8g,6g,9g,Tijuana Flats
14970,Tostada Shells with Refried Beans,303,79,9g,1g,0g,0mg,373mg,54g,10g,4g,9g,Tijuana Flats
14971,12 Grain Bagel,350,80,9g,1g,0g,0mg,450mg,55g,6g,8g,11g,Tim Hortons
14972,"Bagel Toppings, Butter Portion",100,100,11g,7g,0g,30mg,95mg,0g,0g,0g,0g,Tim Hortons
14973,Blueberry Bagel,300,20,2.5g,0g,0g,0mg,450mg,59g,3g,8g,11g,Tim Hortons
14974,Cinnamon Raisin Bagel,300,20,2g,0g,0g,0mg,390mg ,61g,2g,10g,9g,Tim Hortons
14975,Concord Grape Jelly,35,0,0g,0g,0g,0mg,0mg,9g,0g,8g,0g,Tim Hortons
14976,Everything Bagel,300,25,3g,0.5g,0g,0mg,450mg,58g,3g,6g,11g,Tim Hortons
14977,Four Cheese Bagel,320,45,5g,2g,0g,5mg,580mg,57g,2g,3g,12g,Tim Hortons
14978,Garden Vegetable Cream Cheese Spread,130,110,12g,8g,0g,35mg,270mg,3g,0g,2g,2g,Tim Hortons
14979,Honey,45,0,0g,0g,0g,0mg,100mg,11g,0g,11g,0g,Tim Hortons
14980,Jalapeno Asiago Mozzarella Bagel,310,35,3.5g,1.5g,0g,5mg,730mg,58g,3g,2g,12g,Tim Hortons
14981,Light Plain Cream Cheese Spread,90,60,7g,4.5g,0g,20mg,240mg,5g,0g,4g,3g,Tim Hortons
14982,Maple Cinnamon French Toast Bagel,350,35,4g,1.5g,0g,5mg,540mg,67g,2g,15g,10g,Tim Hortons
14983,Margarine Portion,60,60,7g,2g,0g,0mg,115mg,0g,0g,0g,0g,Tim Hortons
14984,Peanut Butter,120,90,11g,2g,0g,0mg,100mg,5g,2g,2g,5g,Tim Hortons
14985,Plain Bagel,300,20,2.5g,0g,0g,0mg,490mg,59g,3g,6g,10g,Tim Hortons
14986,Plain Cream Cheese Spread,130,110,12g,8g,0g,40mg,210mg,3g,0g,2g,2g,Tim Hortons
14987,Pretzel-style Bagel,300,30,3g,0g,0g,0mg,850mg,60g,2g,4g,11g,Tim Hortons
14988,Strawberry Cream Cheese Spread,130,100,11g,7g,0g,35mg,190mg,7g,0g,6g,2g,Tim Hortons
14989,Strawberry Jam,35,0,0g,0g,0g,0mg,0mg,9g,0g,8g,0g,Tim Hortons
14990,Sundried Tomato Asiago Parm Bagel,320,40,4.5g,2g,0g,5mg,860mg,59g,3g,4g,12g,Tim Hortons
14991,Apple Cider,210,0, ?, 260 , 0 , ?, 350 , 0 , ?, 460 , 0 ,Tim Hortons
14992,Apple Juice,130,0,0g,0g,0g,0mg,30mg,33g,0g,31g,0g,Tim Hortons
14993,Bagged Tea,0,0, ?, 0 , 0 , ?, 0 , 0 , ?, 0 , 0 ,Tim Hortons
14994,Cafe Mocha,170,50, ?, 240 , 80 , ?, 280 , 90 , ?, 300 , 90 ,Tim Hortons
14995,Caramel Apple Cider Supreme,290,45, ?, 350 , 45 , ?, 440 , 45 , ?, 560 , 45 ,Tim Hortons
14996,Caramel Hot Chocolate,330,100, ?, 400 , 110 , ?, 500 , 140 , ?, 630 , 160 ,Tim Hortons
14997,Citrus Green Iced Tea,144,0,0g,0g,0g,0mg,14mg,36g,0g,36g,0g,Tim Hortons
14998,Dark Roast Coffee,5,0, ?, 5 , 0 , ?, 5 , 0 , ?, 5 , 0 ,Tim Hortons
14999,Decaffeinated Coffee,5,0, ?, 5 , 0 , ?, 5 , 0 , ?, 5 , 0 ,Tim Hortons
15000,Espresso Shot,0,0,0g,0g,0g,0mg,0mg,1g,0g,0g,0g,Tim Hortons
15001,Hot Chocolate,240,50, ?, 300 , 60 , ?, 420 , 90 , ?, 530 , 110 ,Tim Hortons
15002,Orange Juice,140,0,0g,0g,0g,0mg,30mg,35g,0g,33g,1g,Tim Hortons
15003,Original Blend Coffee,5,0, ?, 5 , 0 , ?, 5 , 0 , ?, 5 , 0 ,Tim Hortons
15004,Whole Leaf Tea,0,0, ?, 0 , 0 , ?, 0 , 0 , ?, 0 , 0 ,Tim Hortons
15005,Aged Cheddar Biscuit Breakfast Sandwich,540,330,37g,19g,0g,225mg,1220mg,30g,1g,4g,20g,Tim Hortons
15006,Angus Steak and Egg Breakfast Sandwich,400,180,20g,12g,0g,195mg,1200mg,34g,2g,5g,21g,Tim Hortons
15007,Bacon Breakfast Sandwich,420,200,23g,13g,0g,190mg,1110mg,33g,2g,4g,19g,Tim Hortons
15008,Bagel BELT Sandwich,560,220,24g,8g,0g,190mg,1140mg,62g,7g,11g,24g,Tim Hortons
15009,Croissant Breakfast Sandwich,600,380,42g,19g,0.5g,235mg,1040mg,36g,2g,6g,19g,Tim Hortons
15010,Hash Browns,130,60,7g,0.5g,0g,0mg,280mg, 16g,1g,0g,1g,Tim Hortons
15011,Sausage Breakfast Sandwich,530,310,34g,17g,0g,215mg,1180mg,33g,2g,4g,19g,Tim Hortons
15012,Steak and Four-Cheese Bagel Breakfast Sandwich,510,150,17g,7g,0g,200mg,1360mg,62g,2g,5g,27g,Tim Hortons
15013,Strawberry Greek Yogurt with Mixed Berries and Almond Granola,250,45,5g,0g,0g,5mg,110mg,29g,3g,21g,14g,Tim Hortons
15014,Turkey Sausage Breakfast Sandwich,350,140,16g,6g,0g,205mg,960mg,31g,1g,3g,20g,Tim Hortons
15015,Vanilla Greek Yogurt with Mixed Berries and Almond Granola,250,45,5g,0g,0g,5mg,110mg,29g,3g,21g,14g,Tim Hortons
15016,Chocolate Chunk Cookie,210,80,9g,5g,0g,20mg,240mg ,32g,1g,17g,2g,Tim Hortons
15017,Cookie Filled with Nutella,360,160,18g,7g,0g,20mg,190mg,44g,1g,25g,4g,Tim Hortons
15018,Double Chocolate Cookie with Peanut Butter Filling,360,180,20g,11g,0.5g,50mg,290mg,40g,2g,23g,5g,Tim Hortons
15019,Lemon Shortbread Cookie with Raspberry Filling,280,90,10g,7g,0.5g,35mg,250mg,44g,1g,21g,3g,Tim Hortons
15020,Oatmeal Raisin Spice Cookie,210,70,8g,4.5g,0g,20mg,190mg,32g,1g,19g,3g,Tim Hortons
15021,Red Velvet Cookie with Cream Cheese Filling,300,110,13g,9g,0.5g,35mg,250mg,42g,1g,23g,3g,Tim Hortons
15022,Smile Cookie,300,110,12g,7g,0g,25mg,370mg,47g,1g,27g,3g,Tim Hortons
15023,Apple Fritter Donut,290,70,8g,3.5g,0g,0mg,330mg,48g,2g,15g,7g,Tim Hortons
15024,Blueberry Bloom Donut,240,80,9g,4.5g,0g,0mg,180mg,37g,1g,15g,3g,Tim Hortons
15025,Blueberry Filled Donut,200,50,5g,2g,0g,0mg,230mg,34g,1g,12g,4g,Tim Hortons
15026,Boston Cream Donut,220,60,6g,2.5g,0g,0mg,250mg,35g,1g,13g,5g,Tim Hortons
15027,Buckeye Bloom Donut,250,110,12g,4g,0g,0mg,210mg,32g,1g,12g,5g,Tim Hortons
15028,Canadian Maple Donut,210,50,6g,2.5g,0g,0mg,250mg,35g,1g,14g,5g,Tim Hortons
15029,Caramel Apple Fritter Donut,300,70,8g,3.5g,0g,0mg,390mg,52g,2g,17g,7g,Tim Hortons
15030,Chocolate Caramel Donut,280,80,9g,4g,0g,0mg,330mg,47g,1g,23g,5g,Tim Hortons
15031,Chocolate Dip Donut,190,60,7g,2.5g,0g,0mg,210mg,29g,1g,8g,5g,Tim Hortons
15032,Chocolate Glazed Donut,280,120,14g,6g,0g,5mg, 320mg,37g,1g,19g,4g,Tim Hortons
15033,Cinnamon Sugar Donut,220,90,10g,5g,0g,15mg,270mg,28g,1g,10g,3g,Tim Hortons
15034,Donut Filled with Nutella,290,130,14g,4.5g,0g,0mg,180mg,34g,2g,14g,6g,Tim Hortons
15035,Double Chocolate Donut,270,130,15g,6g,0g,5mg,330mg ,32g,2g,13g,4g,Tim Hortons
15036,Double Strawberry Donut,230,50,5g,2.5g,0g,0mg,230mg,40g,1g,20g,5g,Tim Hortons
15037,Football Donut,230,80,8g,3.5g,0g,0mg,240mg,34g,1g,11g,5g,Tim Hortons
15038,Game Day Donut,270,80,9g,3.5g,0g,0mg,220mg,45g,1g,22g,4g,Tim Hortons
15039,Honey Cruller Donut,310,170,18g,9g,0.3g,50mg,200mg,37g,0g,22g,2g,Tim Hortons
15040,Honey Dip Donut,190,50,6g,2.5g,0g,0mg,210mg,31g,1g,11g,4g,Tim Hortons
15041,Maple Dip Donut,190,60,6g,2.5g,0g,0mg,210mg,29g,1g,9g,4g,Tim Hortons
15042,Old Fashion Dip Donut,250,100,11g,5g,0g,15mg,270mg,33g,1g,15g,4g,Tim Hortons
15043,Old Fashion Glazed Donut,270,90,10g,5g,0g,15mg,270mg,41g,1g,23g,3g,Tim Hortons
15044,Old Fashion Plain Donut,210,90,10g,5g,0g,15mg,260mg,25g,1g,8g,3g,Tim Hortons
15045,Oreo Donut,420,160,18g,7g,0g,0mg,270mg,60g,1g,33g,5g,Tim Hortons
15046,Peanut Crunch Donut,300,120,14g,5g,0g,15mg,270mg,39g,1g,20g,5g,Tim Hortons
15047,Sour Cream Cinnamon Donut,270,150,16g,8g,0g,10mg,210mg,29g,1g,12g,3g,Tim Hortons
15048,Sour Cream Glazed Donut,340,150,16g,8g,0g,10mg,220mg,46g,1g,29g,3g,Tim Hortons
15049,Sour Cream Plain Donut,270,150,16g,8g,0g,10mg,210mg,27g,1g,11g,3g,Tim Hortons
15050,Strawberry Bloom Donut,350,70,7g,3.5g,0g,0mg,190mg,66g,1g,44g,4g,Tim Hortons
15051,Strawberry Cream Donut,290,90,10g,4g,0g,0mg,230mg,45g,1g,25g,4g,Tim Hortons
15052,Strawberry Dip Donut,210,50,6g,2.5g,0g,0mg,210mg,35g,1g,14g,4g,Tim Hortons
15053,Strawberry Double Chocolate Donut,280,130,15g,6g,0g,5mg,330mg,33g,2g,14g,4g,Tim Hortons
15054,Strawberry Filled Donut,200,50,5g,2g,0g,0mg,230mg,34g,1g,14g,5g,Tim Hortons
15055,Sugar Loop Donut,180,50,6g,2.5g,0g,0mg,210mg,28g,1g,8g,4g,Tim Hortons
15056,Vanilla Dip Donut with Colored Sprinkles,270,80,9g,3.5g,0g,0mg,220mg,45g,1g,22g,4g,Tim Hortons
15057,Chicken Fajita Grilled Wrap,430,170,19g,8g,0g,70mg,1060mg,39g,3g,4g,28g,Tim Hortons
15058,Homestyle Soft Bun,210,10,1g,0g,0g,0mg,450mg,42g,2g,1g,7g,Tim Hortons
15059,Homestyle Whole Wheat Soft Bun,200,10,1g,0g,0g,0mg,430mg,40g,4g,1g,8g,Tim Hortons
15060,Mac & Cheese,490,240,27g,10g,0g,40mg,1120mg,48g,1g,7g,16g,Tim Hortons
15061,Steak Fajita Grilled Wrap,430,180,20g,8g,0g,60mg,1140mg,40g,3g,4g,26g,Tim Hortons
15062,Chocolate Caramel Muffin,410,140,15g,4g,0g,40mg,480mg,64g,2g,35g,5g,Tim Hortons
15063,Chocolate Chip Muffin,420,140,16g,4.5g,0g,35mg,330mg,66g,2g,35g,6g,Tim Hortons
15064,Cran Apple Walnut Bran Muffin,350,130,14g,2g,0g,15mg,370mg,54g,8g,20g,5g,Tim Hortons
15065,Cranberry White Chocolate Muffin,370,110,12g,2.5g,0g,25mg,370mg,60g,2g,30g,5g,Tim Hortons
15066,Fruit Explosion Muffin,340,90,10g,1.5g,0g,30mg,470mg,58g,2g,25g,5g,Tim Hortons
15067,Lemon Blueberry Greek Yogurt Muffin,360,110,12g,2g,0g,35mg,400mg,58g,5g,24g,6g,Tim Hortons
15068,Whole Grain Pecan Banana Bread Muffin,350,100,11g,1.5g,0g,30mg,400mg,60g,5g,27g,6g,Tim Hortons
15069,Wild Blueberry Muffin,340,100,11g,2g,0g,30mg,430mg,57g,2g,25g,5g,Tim Hortons
15070,Cherry Cheese Danish,370,140,16g,6g,0g,0mg,310mg,50g,1g,24g,5g,Tim Hortons
15071,Maple Pecan Danish,400,170,19g,6g,0g,0mg,270mg,53g,2g,21g,7g,Tim Hortons
15072,Pastry Pocket Filled with Nutella,150,80,9g,4g,0g,0mg,105mg,16g,1g,8g,2g,Tim Hortons
15073,Ultimate Cinnamon Bun,570,190,21g,10g,0g,20mg,670mg,89g,3g,50g,8g,Tim Hortons
15074,Apple Fritter Timbit,50,15,1.5g,1g,0g,0mg,40mg,9g,0g,4g,1g,Tim Hortons
15075,Birthday Cake Timbit,80,25,3g,1.5g,0g,5mg,60mg,12g,0g,8g,1g,Tim Hortons
15076,Blueberry Timbit,90,45,5g,2.5g,0g,0mg,45mg,11g,0g,7g,1g,Tim Hortons
15077,Chocolate Glazed Timbit,70,30,3g,1.5g,0g,0mg,85mg,10g,0g,5g,1g,Tim Hortons
15078,Cinnamon French Toast Timbit,70,30,3.5g,1.5g,0g,5mg,65mg,8g,0g,3g,1g,Tim Hortons
15079,Cinnamon Sugar Timbit,60,25,2.5g,1g,0g,5mg,75mg,8g,1g,3g,1g,Tim Hortons
15080,Double Chocolate Timbit,70,30,3g,1.5g,0g,0mg,85mg,9g,0g,4g,1g,Tim Hortons
15081,Game Day Timbit,50,10,1g,0.5g,0g,0mg,30mg,9g,0g,5g,1g,Tim Hortons
15082,Honey Dip Timbit,45,10,1g,0.5g,0g,0mg,30mg,8g,0g,4g,1g,Tim Hortons
15083,Old Fashion Glazed Timbit,70,25,2.5g,1g,0g,5mg,75mg,10g,0g,5g,1g,Tim Hortons
15084,Old Fashion Plain Timbit,50,25,2.5g,1g,0g,5mg,75mg,7g,0g,2g,1g,Tim Hortons
15085,Salted Caramel Timbit,70,30,3g,1.5g,0g,5mg,120mg,11g,0g,6g,1g,Tim Hortons
15086,Sour Cream Glazed Timbit,90,40,4.5g,2g,0g,5mg,55mg,12g,0g,7g,1g,Tim Hortons
15087,Strawberry Filled Timbit,50,10,1g,0.5g,0g,0mg,35mg,8g,0g,4g,1g,Tim Hortons
15088,Aquafina Bottled Water,0,0,0g,0g,0g,0mg,20mg,0g,0g,0g,0g,Tropical Smoothie Cafe
15089,Brewed Sweet Tea,250,0,0g,0g,0g,0mg,25mg,62g,0g,60g,0g,Tropical Smoothie Cafe
15090,Coca-Cola,110,0, 12 fl oz, 150 , 0 , 20 fl oz, 240 , 0 , 24 fl oz, 290 , 0 ,Tropical Smoothie Cafe
15091,Coke Zero,0,0,0g,0g,0g,0mg,85mg,0g,0g,0g,0g,Tropical Smoothie Cafe
15092,Dasani Bottled Water,0,0,0g,0g,0g,0mg,20mg,0g,0g,0g,0g,Tropical Smoothie Cafe
15093,Diet Coke,0,0, 8.5 fl oz, 0 , 0 , 24 fl oz, 0 , 0 , 12 fl oz, 0 , 0 ,Tropical Smoothie Cafe
15094,Minute Maid Lemonade,270,0,0g,0g,0g,0mg,200mg,75g,0g,72g,0g,Tropical Smoothie Cafe
15095,Nestle Pure Life Bottled Water,0,0,0g,0g,0g,0mg,20mg,0g,0g,0g,0g,Tropical Smoothie Cafe
15096,Organic Half Tea & Half Lemonade,100,0,0g,0g,0g,0mg,0mg,25g,0g,25g,0g,Tropical Smoothie Cafe
15097,Organic Honey Green Tea,70,0,0g,0g,0g,0mg,15mg,19g,0g,19g,0g,Tropical Smoothie Cafe
15098,Organic Peach Tea,100,0,0g,0g,0g,0mg,20mg,25g,0g,25g,0g,Tropical Smoothie Cafe
15099,Sprite,100,0, 12 fl oz, 140 , 0 , 20 fl oz, 240 , 0 , 24 fl oz, 280 , 0 ,Tropical Smoothie Cafe
15100,Baja Chicken Bowl,470,190,21g,6g,0g,95mg,1480mg,37g,9g,7g,33g,Tropical Smoothie Cafe
15101,Buffalo Chicken Bowl,420,220,25g,7g,0g,100mg,2550mg,16g,4g,6g,29g,Tropical Smoothie Cafe
15102,Caribbean Jerk Chicken Bowl,440,110,12g,6g,0g,95mg,1350mg,52g,6g,24g,33g,Tropical Smoothie Cafe
15103,Hummus Veggie Bowl,620,370,42g,7g,0g,35mg,1170mg,48g,11g,9g,13g,Tropical Smoothie Cafe
15104,Supergreen Caesar Chicken Bowl,570,380,43g,11g,0g,150mg,1140mg,13g,5g,3g,33g,Tropical Smoothie Cafe
15105,Thai Chicken Bowl,380,120,13g,1.5g,0g,65mg,1160mg,40g,5g,22g,26g,Tropical Smoothie Cafe
15106,All American Wrap,430,180,20g,9g,0g,145mg,1160mg,37g,0g,1g,22g,Tropical Smoothie Cafe
15107,Peanut Butter Banana Crunch Flatbread,590,210,24g,4.5g,0g,0mg,730mg,77g,7g,22g,18g,Tropical Smoothie Cafe
15108,Southwest Wrap,580,320,36g,10g,0g,170mg,1170mg,38g,2g,2g,24g,Tropical Smoothie Cafe
15109,Chocolate Chunk Cookie,330,160,18g,11g,0g,35mg,300mg,39g,3g,22g,5g,Tropical Smoothie Cafe
15110,Snickerdoodle Cookie,290,100,11g,7g,0g,50mg,330mg,43g,0g,22g,5g,Tropical Smoothie Cafe
15111,Almonds,40,30,3.5g,0g,0g,0mg,0mg,2g,0g,0g,2g,Tropical Smoothie Cafe
15112,Chia Seeds,45,25,2.5g,0g,0g,0mg,0mg,4g,3g,0g,1g,Tropical Smoothie Cafe
15113,Ginger,0,0,0g,0g,0g,0mg,0mg,1g,0g,0g,0g,Tropical Smoothie Cafe
15114,Ground Flaxseed,20,20,2g,0g,0g,0mg,0mg,1g,1g,0g,1g,Tropical Smoothie Cafe
15115,Matcha Green Tea,15,0,0g,0g,0g,0mg,0mg,4g,0g,4g,0g,Tropical Smoothie Cafe
15116,Moringa Powder,10,0,0g,0g,0g,0mg,0mg,2g,0g,0g,2g,Tropical Smoothie Cafe
15117,Peanut Butter,190,130,15g,3.5g,0g,0mg,140mg,4g,2g,3g,8g,Tropical Smoothie Cafe
15118,Whole-Grain Oats,70,0,0.5g,0g,0g,0mg,0mg,15g,3g,0g,2g,Tropical Smoothie Cafe
15119,Kids Cheese Quesadilla,400,170,19g,11g,0g,45mg,900mg,37g,0g,0g,19g,Tropical Smoothie Cafe
15120,Kids Cheese Quesadilla with Chicken,480,180,21g,11g,0g,90mg,1160mg,38g,0g,0g,33g,Tropical Smoothie Cafe
15121,BBQ Pork Quesadilla,630,240,27g,13g,0g,55mg,1960mg,78g,1g,40g,18g,Tropical Smoothie Cafe
15122,Guava Margarita with Splenda,150,5,0.5g,0g,0g,0mg,0mg,37g,7g,25g,2g,Tropical Smoothie Cafe
15123,Guava Margarita with Turbinado,360,5,0.5g,0g,0g,0mg,5mg,90g,7g,79g,2g,Tropical Smoothie Cafe
15124,Watermelon Mojito with Splenda,160,0,0g,0g,0g,0mg,5mg,40g,2g,33g,1g,Tropical Smoothie Cafe
15125,Watermelon Mojito with Turbinado,370,0,0g,0g,0g,0mg,10mg,93g,2g,87g,1g,Tropical Smoothie Cafe
15126,Island Chicken Quesadilla,570,240,27g,11g,0g,80mg,1960mg,51g,2g,9g,29g,Tropical Smoothie Cafe
15127,Santa Fe Chicken Quesadilla,600,250,28g,14g,0g,100mg,2270mg,50g,3g,5g,35g,Tropical Smoothie Cafe
15128,Three Cheese Chicken Quesadilla,550,240,27g,14g,0g,100mg,1880mg,41g,1g,3g,33g,Tropical Smoothie Cafe
15129,Apple,90,0,0g,0g,0g,0mg,0mg,25g,4g,19g,0g,Tropical Smoothie Cafe
15130,Banana,110,0,0g,0g,0g,0mg,0mg,27g,3g,14g,1g,Tropical Smoothie Cafe
15131,Harvest Cheddar Sunchips,140,54,6g,0.5g,0g,0mg,200mg,19g,2g,2g,2g,Tropical Smoothie Cafe
15132,Orange,60,0,0g,0g,0g,0mg,0mg,15g,3g,12g,1g,Tropical Smoothie Cafe
15133,Acai Berry Boost Smoothie,470,20,2g,0g,0g, 0mg,10mg,114g,5g,102g,1g,Tropical Smoothie Cafe
15134,Avocolada Smoothie,600,150,17g,4g,0g,0mg,50mg,112g,9g,100g,4g,Tropical Smoothie Cafe
15135,Bahama Mama Smoothie,500,40,4.5g,4g,0g,0mg,50mg,117g,3g,110g,3g,Tropical Smoothie Cafe
15136,Beach Bum Smoothie,550,45,5g,4g,0g,0mg,110mg,129g,7g,108g,4g,Tropical Smoothie Cafe
15137,Blimey Limey Smoothie,440,0,0g,0g,0g,0mg,10mg,111g,2g,108g,1g,Tropical Smoothie Cafe
15138,Blueberry Bliss Smoothie,340,5,0.5g,0g,0g,0mg,5mg,86g,4g,75g,1g,Tropical Smoothie Cafe
15139,Chia Banana Boost with Peanut Butter Smoothie,780,240,27g,6g,0g,0mg,160mg,128g,15g,95g,16g,Tropical Smoothie Cafe
15140,Chia Banana Boost with Strawberry Smoothie,610,110,12g,2.5g,0g,0mg,15mg,127g,14g,94g,8g,Tropical Smoothie Cafe
